titre;annee;cote;coteNew;auteur;cnpl;compositeur;editeur;livret;fiche;internet;scan;snpls
REJOUIS-TOI MARIE, LE SEIGNEUR EST AVEC TOI;1983;SYLG375;EU375;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7357;;*;
REJOUIS-TOI MARIE, MERE DE TOUS LES VIVANTS;1983;SYLG373;EU373;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7142;;*;
REJOUIS-TOI MARIE, PLEINE DE GRACE;1989;SYLS231;VX231;BOURGEOIS - REVEL;;GOUZES;SYLVANES;BVM;7347;;*;
REJOUIS-TOI MARIE, PLEINE DE GRACE;1983;SYLG171;EU171;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7627;;*;
REJOUIS-TOI MARIE, SOURCE SCELLEE;1983;SYLG175;EU175;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7245;;*;
REJOUIS-TOI MARIE, TOI QUI AS CRU;1983;SYLG174;EU174;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7169;;*;
REJOUIS-TOI MARIE, TOI QUI PORTES EN TON SEIN;1983;SYLG371;EU371;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;6995;;*;
REJOUIS-TOI MARIE, TRONE DE LA SAGESSE ETERNELLE;1983;SYLG372;EU372;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;6869;;*;
REJOUIS-TOI MARIE, TU ES BENIE ENTRE LES FEMMES;1983;SYLG273;EU273;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7280;;*;
REJOUIS-TOI MARIE, TU ES L'ARCHE DE L'ALLIANCE;1983;SYLG272;EU272;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;6911;;*;
REJOUIS-TOI MARIE, TU ES L'EPOUSE IMMACULEE;1983;SYLG274;EU274;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7282;;*;
REJOUIS-TOI MARIE, TU ES LA CITE DU DIEU VIVANT;1983;SYLG275;EU275;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7279;;*;
REJOUIS-TOI MARIE, TU ES LA JERUSALEM NOUVELLE;1983;SYLG271;EU271;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7281;;*;
REJOUIS-TOI, COMBLEE DE GRACE;1981;XL669;;AELF;;BERTHIER;STUDIO SM;;5136;;*;
REJOUIS-TOI, COMBLEE DE GRACE;1989;SYLS821;Z15-9;BOURGEOIS - REVEL;;GOUZES;SYLVANES;BVM;7479;;*;
REJOUIS-TOI, COMBLEE DE GRACE;2006;V52-68;;COMMUNAUTÉ DE L'EMMANUEL;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;13153;*;;
REJOUIS-TOI, EGLISE NOTRE MERE;1989;SYLS3;Z94-17;BOURGEOIS - REVEL;;GOUZES;SYLVANES;BVM;7055;;*;
REJOUIS-TOI, FILLE DE JERUSALEM;2008;EDIT15-64;;COMMUNAUTÉ DE L'EMMANUEL;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;13796;*;;
REJOUIS-TOI, JERUSALEM, ALLELUIA;1993;U13-96;EU13-96;BERNARD;;BERTHIER;BAYARD-LITURGIE; - J BERTHIER 90 CHANTS POUR LA LITURGIE;6168;;*;
